公告,#genre#
直播源均来自网络，不得商用，仅供学习交流使用。,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
更新日期,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
2025-06-22,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
央视频道,#genre#
CCTV14,http://180.165.8.189:8888/rtp/239.45.3.23:5140
CCTV15,http://222.64.219.142:8888/rtp/239.45.0.20:5140
CCTV15,http://222.64.207.240:8899/rtp/239.45.0.20:5140
CCTV15,http://218.1.137.127:4022/rtp/239.45.0.20:5140
CCTV15,http://180.154.59.175:4022/rtp/239.45.0.20:5140
CCTV15,http://101.229.185.36:4022/rtp/239.45.0.20:5140
CCTV15,http://116.235.57.70:4022/rtp/239.45.0.20:5140
CCTV15,http://218.80.118.249:8880/rtp/239.45.0.20:5140
CCTV15,http://218.1.187.97:8888/rtp/239.45.0.20:5140
CCTV15,http://180.165.8.189:8888/rtp/239.45.0.20:5140
CCTV16,http://222.64.219.142:8888/rtp/239.45.0.12:5140
CCTV16,http://222.64.207.240:8899/rtp/239.45.0.12:5140
CCTV16,http://218.1.137.127:4022/rtp/239.45.0.12:5140
CCTV16,http://180.154.59.175:4022/rtp/239.45.0.12:5140
CCTV16,http://101.229.185.36:4022/rtp/239.45.0.12:5140
CCTV16,http://116.235.57.70:4022/rtp/239.45.0.12:5140
CCTV16,http://218.80.118.249:8880/rtp/239.45.0.12:5140
CCTV16,http://218.1.187.97:8888/rtp/239.45.0.12:5140
CCTV16,http://180.165.8.189:8888/rtp/239.45.0.12:5140
CCTV17,http://222.64.219.142:8888/rtp/239.45.3.52:5140
CCTV17,http://222.64.207.240:8899/rtp/239.45.3.52:5140
CCTV17,http://218.1.137.127:4022/rtp/239.45.3.52:5140
CCTV17,http://180.154.59.175:4022/rtp/239.45.3.52:5140
CCTV17,http://101.229.185.36:4022/rtp/239.45.3.52:5140
CCTV17,http://116.235.57.70:4022/rtp/239.45.3.52:5140
CCTV17,http://218.80.118.249:8880/rtp/239.45.3.52:5140
CCTV17,http://218.1.187.97:8888/rtp/239.45.3.52:5140
CCTV17,http://180.165.8.189:8888/rtp/239.45.3.52:5140
CCTV4K,http://222.64.219.142:8888/rtp/239.45.0.55:5140
CCTV4K,http://222.64.207.240:8899/rtp/239.45.0.55:5140
CCTV4K,http://218.1.137.127:4022/rtp/239.45.0.55:5140
CCTV4K,http://180.154.59.175:4022/rtp/239.45.0.55:5140
CCTV4K,http://101.229.185.36:4022/rtp/239.45.0.55:5140
CCTV4K,http://116.235.57.70:4022/rtp/239.45.0.55:5140
CCTV4K,http://218.80.118.249:8880/rtp/239.45.0.55:5140
CCTV4K,http://218.1.187.97:8888/rtp/239.45.0.55:5140
CCTV4K,http://180.165.8.189:8888/rtp/239.45.0.55:5140
CCTV4欧洲,http://14.155.254.111:4022/rtp/239.253.43.120:5146
CCTV4欧洲,http://116.30.250.97:9876/rtp/239.253.43.120:5146
CCTV4欧洲,http://116.30.248.227:9876/rtp/239.253.43.120:5146
CCTV4欧洲,http://14.154.189.10:4022/rtp/239.253.43.120:5146
CCTV4欧洲,http://113.109.248.105:9999/rtp/239.253.43.120:5146
CCTV4欧洲,http://113.65.9.20:4013/rtp/239.253.43.120:5146
CCTV4欧洲,http://113.111.108.61:4022/rtp/239.253.43.120:5146
CCTV4欧洲,http://61.140.127.94:10022/rtp/239.253.43.120:5146
CCTV4欧洲,http://219.131.10.8:8188/rtp/239.253.43.120:5146
CCTV4欧洲,http://14.149.140.115:16888/rtp/239.253.43.120:5146
CCTV4欧洲,http://125.90.228.170:12306/rtp/239.253.43.120:5146
CCTV4欧洲,http://113.65.9.228:4013/rtp/239.253.43.120:5146
CCTV4欧洲,http://113.65.9.156:4013/rtp/239.253.43.120:5146
CCTV4欧洲,http://113.117.107.125:8800/rtp/239.253.43.120:5146
CCTV4欧洲,http://113.65.9.131:4013/rtp/239.253.43.120:5146
CCTV4欧洲,http://113.65.9.61:4013/rtp/239.253.43.120:5146
CCTV4欧洲,http://61.141.244.83:4200/rtp/239.253.43.120:5146
CCTV4欧洲,http://183.33.58.91:8686/rtp/239.253.43.120:5146
CCTV4欧洲,http://113.65.9.61:4111/rtp/239.253.43.120:5146
CCTV4欧洲,http://183.10.182.143:8188/rtp/239.253.43.120:5146
CCTV4欧洲,http://14.212.133.45:4022/rtp/239.253.43.120:5146
CCTV4欧洲,http://183.53.109.171:9090/rtp/239.253.43.120:5146
CCTV4欧洲,http://113.65.9.228:4111/rtp/239.253.43.120:5146
CCTV4欧洲,http://115.63.39.9:4000/udp/225.1.5.31:1342
CCTV4美洲,http://14.155.254.111:4022/rtp/239.253.43.121:5146
CCTV4美洲,http://116.30.250.97:9876/rtp/239.253.43.121:5146
CCTV4美洲,http://116.30.248.227:9876/rtp/239.253.43.121:5146
CCTV4美洲,http://14.154.189.10:4022/rtp/239.253.43.121:5146
CCTV4美洲,http://113.109.248.105:9999/rtp/239.253.43.121:5146
CCTV4美洲,http://113.65.9.20:4013/rtp/239.253.43.121:5146
CCTV4美洲,http://113.111.108.61:4022/rtp/239.253.43.121:5146
CCTV4美洲,http://61.140.127.94:10022/rtp/239.253.43.121:5146
CCTV4美洲,http://219.131.10.8:8188/rtp/239.253.43.121:5146
CCTV4美洲,http://14.149.140.115:16888/rtp/239.253.43.121:5146
CCTV4美洲,http://125.90.228.170:12306/rtp/239.253.43.121:5146
CCTV4美洲,http://113.65.9.228:4013/rtp/239.253.43.121:5146
CCTV4美洲,http://113.65.9.156:4013/rtp/239.253.43.121:5146
CCTV4美洲,http://113.117.107.125:8800/rtp/239.253.43.121:5146
CCTV4美洲,http://113.65.9.131:4013/rtp/239.253.43.121:5146
CCTV4美洲,http://113.65.9.61:4013/rtp/239.253.43.121:5146
CCTV4美洲,http://61.141.244.83:4200/rtp/239.253.43.121:5146
CCTV4美洲,http://183.33.58.91:8686/rtp/239.253.43.121:5146
CCTV4美洲,http://113.65.9.61:4111/rtp/239.253.43.121:5146
CCTV4美洲,http://183.10.182.143:8188/rtp/239.253.43.121:5146
CCTV4美洲,http://14.212.133.45:4022/rtp/239.253.43.121:5146
CCTV4美洲,http://183.53.109.171:9090/rtp/239.253.43.121:5146
CCTV4美洲,http://113.65.9.228:4111/rtp/239.253.43.121:5146
CCTV4美洲,http://115.63.39.9:4000/udp/225.1.5.32:1343
CGTN,http://221.223.16.242:58888/rtp/239.3.1.215:4220
CGTN,http://123.112.213.226:4022/rtp/239.3.1.215:4220
CGTN,http://114.254.32.75:4022/rtp/239.3.1.215:4220
CGTN,http://221.223.19.121:58888/rtp/239.3.1.215:4220
CGTN,http://222.130.81.44:4022/rtp/239.3.1.215:4220
CGTN,http://221.219.183.71:4022/rtp/239.3.1.215:4220
CGTN,http://123.118.56.82:8686/rtp/239.3.1.215:4220
CGTN,http://114.254.95.90:4022/rtp/239.3.1.215:4220
CGTN,http://125.34.48.171:7077/rtp/239.3.1.215:4220
CGTN,http://114.254.98.68:4022/rtp/239.3.1.215:4220
CGTN,http://111.199.7.235:8686/rtp/239.3.1.215:4220
CGTN,http://111.196.61.101:4022/rtp/239.3.1.215:4220
CGTN,http://114.249.0.11:4022/rtp/239.3.1.215:4220
CGTN,http://221.223.21.131:58888/rtp/239.3.1.215:4220
